spread_id,leg_order,root,selection_mode,delivery_offset,rank,sign,contracts,price_weight,description
HOGO_CAL_BOX,4,QS,delivery,1,2,1,4,1,Long four QS M2
CRUDE_BASIS_BOX,1,CO,delivery,0,1,1,1,1,Long CO M1
CRUDE_BASIS_BOX,2,CO,delivery,1,2,-1,1,1,Short CO M2
CRUDE_BASIS_BOX,3,CL,delivery,0,1,-1,1,1,Short CL M1
CRUDE_BASIS_BOX,4,CL,delivery,1,2,1,1,1,Long CL M2
REL_CRACK_CURVE_BOX,1,HO,delivery,0,1,1,3,1,Long three HO M1
REL_CRACK_CURVE_BOX,2,CL,delivery,0,1,-1,3,1,Short three CL M1
REL_CRACK_CURVE_BOX,3,HO,delivery,1,2,-1,3,1,Short three HO M2
REL_CRACK_CURVE_BOX,4,CL,delivery,1,2,1,3,1,Long three CL M2
REL_CRACK_CURVE_BOX,5,QS,delivery,0,1,-1,4,1,Short four QS M1
REL_CRACK_CURVE_BOX,6,CO,delivery,0,1,1,3,1,Long three CO M1
REL_CRACK_CURVE_BOX,7,QS,delivery,1,2,1,4,1,Long four QS M2
REL_CRACK_CURVE_BOX,8,CO,delivery,1,2,-1,3,1,Short three CO M2
HOGO_FLY_BOX,1,HO,delivery,0,1,1,3,1,Long three HO M1
HOGO_FLY_BOX,2,HO,delivery,1,2,-1,6,2,Short six HO M2
HOGO_FLY_BOX,3,HO,delivery,2,3,1,3,1,Long three HO M3
HOGO_FLY_BOX,4,QS,delivery,0,1,-1,4,1,Short four QS M1
HOGO_FLY_BOX,5,QS,delivery,1,2,1,8,2,Long eight QS M2
HOGO_FLY_BOX,6,QS,delivery,2,3,-1,4,1,Short four QS M3
HO_BRENT_VS_QS_BRENT,1,HO,delivery,0,1,1,3,1,Long three HO M1
HO_BRENT_VS_QS_BRENT,2,CO,delivery,0,1,-1,3,1,Short three CO M1 first crack
HO_BRENT_VS_QS_BRENT,3,QS,delivery,0,1,-1,4,1,Short four QS M1
HO_BRENT_VS_QS_BRENT,4,CO,delivery,0,1,1,3,1,Long three CO M1 second crack
HO_WTI_VS_HO_BRENT,1,HO,delivery,0,1,1,1,1,Long HO M1 first crack
HO_WTI_VS_HO_BRENT,2,CL,delivery,0,1,-1,1,1,Short CL M1
HO_WTI_VS_HO_BRENT,3,HO,delivery,0,1,-1,1,1,Short HO M1 second crack
HO_WTI_VS_HO_BRENT,4,CO,delivery,0,1,1,1,1,Long CO M1
QS_BRENT_VS_QS_WTI,1,QS,delivery,0,1,1,4,1,Long QS M1 first crack
QS_BRENT_VS_QS_WTI,2,CO,delivery,0,1,-1,3,1,Short CO M1
QS_BRENT_VS_QS_WTI,3,QS,delivery,0,1,-1,4,1,Short QS M1 second crack
QS_BRENT_VS_QS_WTI,4,CL,delivery,0,1,1,3,1,Long CL M1
